SrNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,HundredMillionOrMore,OneMillionOrMore,Funded,Industry,BangaloreBased,InMegaCity,TechRelated,PrivateEquity,SeedFunding,PrivateOrSeed,Year,FiveMillionOrMore,TopInvestor
811,17-May,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,1400000,No,Yes,Yes,Consumer Internet,No,No,Yes,Yes,No,Yes,2017,0,No
812,17-May,Shopclues,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,7700000,No,Yes,Yes,Other,No,No,No,Yes,No,Yes,2017,1,No
813,17-May,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,600000,No,No,Yes,Consumer Internet,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
814,17-May,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,0,No,No,No,Other,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
815,17-May,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000,No,Yes,Yes,Consumer Internet,No,No,Yes,Yes,No,Yes,2017,0,No
816,17-May,Book My Diamond,eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,0,No,No,No,Other,No,Yes,No,No,Yes,Yes,2017,0,No
817,17-May,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,0,No,No,No,Other,No,Yes,Yes,No,Yes,Yes,2017,0,No
818,17-May,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,5000000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,1,No
819,17-May,Log 9 Materials,Technology,UnknownoTech product developer,Bangalore,GEMs,Seed Funding,0,No,No,No,Other,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
820,17-May,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,466000,No,No,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,0,No
821,17-May,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,Undisclosed Investors,Seed Funding,1000000,No,Yes,Yes,Other,Yes,Yes,No,No,Yes,Yes,2017,0,Yes
822,17-May,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,500000,No,No,Yes,Other,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
823,17-May,Vernacular.ai,Technology,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,0,No,No,No,Other,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
824,17-May,Niki.ai,Technology,AI-based chatbot,Bangalore,SAP,Private Equity,0,No,No,No,Other,Yes,Yes,Yes,Yes,No,Yes,2017,0,No
